#https://www.thorlabs.com/newgrouppage9.cfm?objectgroup_id=15605
#note that this does not include reflectance of surface
#Wavelength (nm)	emittance
1772	0.0038102
1774	0.0039794
1776	0.0038977
1778	0.004002
1780	0.0039696
1782	0.0038983
1784	0.0038086
1786	0.0037432
1788	0.0037595
1790	0.0041
1792	0.0043329
1794	0.0041784
1796	0.0040303
1798	0.0040193
1800	0.0043217
1802	0.0043141
1804	0.0041154
1806	0.0038839
1808	0.0038564
1810	0.0040802
1812	0.0038746
1814	0.0037764
1816	0.0040228
1818	0.0038886
1820	0.0039959
1822	0.0041171
1824	0.0042456
1826	0.0043364
1828	0.0041904
1830	0.0041161
1832	0.0040402
1834	0.0041057
1836	0.0042198
1838	0.0040548
1840	0.0043033
1842	0.0043472
1844	0.00458
1846	0.0043387
1848	0.0043552
1850	0.0043929
1852	0.0043411
1854	0.0044718
1856	0.0043625
1858	0.0042512
1860	0.0045999
1862	0.004557
1864	0.004758
1866	0.0047188
1868	0.0043334
1870	0.0041742
1872	0.0042943
1874	0.0049196
1876	0.0045539
1878	0.004919
1880	0.0049038
1882	0.0048893
1884	0.0048872
1886	0.0049131
1888	0.005068
1890	0.004879
1892	0.0051109
1894	0.0052093
1896	0.0052425
1898	0.0049457
1900	0.0051307
1902	0.0050924
1904	0.004965
1906	0.0052029
1908	0.0051881
1910	0.0051209
1912	0.0050577
1914	0.0053779
1916	0.0052692
1918	0.0054778
1920	0.005349
1922	0.0055167
1924	0.0054641
1926	0.0053444
1928	0.0054655
1930	0.0055795
1932	0.0055497
1934	0.0054932
1936	0.005349
1938	0.0054996
1940	0.0053261
1942	0.0054926
1944	0.0055829
1946	0.0054007
1948	0.0055465
1950	0.0058094
1952	0.005934
1954	0.0059079
1956	0.0057249
1958	0.0060872
1960	0.0058868
1962	0.0060029
1964	0.0059241
1966	0.0060234
1968	0.0061713
1970	0.0059155
1972	0.0060518
1974	0.0061647
1976	0.0062576
1978	0.0062608
1980	0.0062773
1982	0.0063122
1984	0.0060925
1986	0.0060325
1988	0.0063308
1990	0.0062495
1992	0.0062753
1994	0.0064327
1996	0.0063718
1998	0.0062779
2000	0.0062761
2002	0.0064195
2004	0.0065909
2006	0.006534
2008	0.0066969
2010	0.0067159
2012	0.0066451
2014	0.0065015
2016	0.0065589
2018	0.0066036
2020	0.0064946
2022	0.0064551
2024	0.0065528
2026	0.0065464
2028	0.0064542
2030	0.0065791
2032	0.0067754
2034	0.0068581
