#Wavelength[nm]	AOI 10 deg
1694	99.48223
1693	99.49091
1692	99.50031
1691	99.50969
1690	99.51843
1689	99.52591
1688	99.5317
1687	99.53562
1686	99.53754
1685	99.53766
1684	99.53629
1683	99.53378
1682	99.53068
1681	99.52753
1680	99.52486
1679	99.52307
1678	99.52245
1677	99.52318
1676	99.52523
1675	99.52839
1674	99.53229
1673	99.53661
1672	99.5407
1671	99.54403
1670	99.54607
1669	99.54642
1668	99.54484
1667	99.54112
1666	99.53541
1665	99.52786
1664	99.51895
1663	99.50927
1662	99.49932
1661	99.48981
1660	99.48146
1659	99.47473
1658	99.4701
1657	99.46783
1656	99.46803
1655	99.47049
1654	99.47501
1653	99.48112
1652	99.48819
1651	99.49571
1650	99.50298
1649	99.50941
1648	99.51469
1647	99.51849
1646	99.52071
1645	99.52146
1644	99.521
1643	99.51974
1642	99.51836
1641	99.51723
1640	99.51703
1639	99.51826
1638	99.52122
1637	99.52611
1636	99.53297
1635	99.5416
1634	99.55157
1633	99.56228
1632	99.57312
1631	99.58328
1630	99.59217
1629	99.59909
1628	99.60361
1627	99.6055
1626	99.60475
1625	99.60159
1624	99.59644
1623	99.58997
1622	99.58296
1621	99.57627
1620	99.5707
1619	99.56699
1618	99.5657
1617	99.56709
1616	99.57138
1615	99.57825
1614	99.5872
1613	99.59762
1612	99.6085
1611	99.61894
1610	99.62786
1609	99.63448
1608	99.63797
1607	99.63787
1606	99.63395
1605	99.62634
1604	99.61549
1603	99.60213
1602	99.58716
1601	99.57164
1600	99.55666
1599	99.54333
1598	99.53252
1597	99.52489
1596	99.52098
1595	99.52067
1594	99.52391
1593	99.53004
1592	99.53838
1591	99.54791
1590	99.55762
1589	99.56657
1588	99.57381
1587	99.57865
1586	99.58064
1585	99.5797
1584	99.57598
1583	99.56985
1582	99.56199
1581	99.55317
1580	99.54429
1579	99.53612
1578	99.52942
1577	99.52472
1576	99.52232
1575	99.52227
1574	99.52437
1573	99.52819
1572	99.5332
1571	99.53867
1570	99.54395
1569	99.54853
1568	99.5519
1567	99.55386
1566	99.55446
1565	99.55394
1564	99.55283
1563	99.55167
1562	99.55131
1561	99.55241
1560	99.55557
1559	99.56123
1558	99.56967
1557	99.58068
1556	99.59389
1555	99.60868
1554	99.62412
1553	99.63904
1552	99.65247
1551	99.66329
1550	99.67072
1549	99.67411
1548	99.67329
1547	99.66838
1546	99.65985
1545	99.64862
1544	99.63573
1543	99.62244
1542	99.60999
1541	99.59956
1540	99.59212
1539	99.58819
1538	99.58812
1537	99.59171
1536	99.5983
1535	99.607
1534	99.61662
1533	99.62579
1532	99.63326
1531	99.63784
1530	99.63866
1529	99.63514
1528	99.62727
1527	99.61533
1526	99.6
1525	99.58245
1524	99.56383
1523	99.54559
1522	99.52899
1521	99.51523
1520	99.50514
1519	99.49924
1518	99.49765
1517	99.50015
1516	99.50609
1515	99.51462
1514	99.52473
1513	99.53537
1512	99.54559
1511	99.55476
1510	99.56238
1509	99.56833
1508	99.57279
1507	99.57626
1506	99.57928
1505	99.58264
1504	99.58696
1503	99.59283
1502	99.6004
1501	99.60974
1500	99.62045
1499	99.63193
1498	99.64326
1497	99.65343
1496	99.66145
1495	99.66637
1494	99.66753
1493	99.66464
1492	99.65773
1491	99.64732
1490	99.63425
1489	99.61967
1488	99.60487
1487	99.59118
1486	99.57974
1485	99.57157
1484	99.56705
1483	99.56639
1482	99.56908
1481	99.57421
1480	99.58062
1479	99.58672
1478	99.59093
1477	99.59171
1476	99.58784
1475	99.57841
1474	99.56295
1473	99.54165
1472	99.51502
1471	99.48412
1470	99.45029
1469	99.41505
1468	99.37995
1467	99.34641
1466	99.31569
1465	99.28863
1464	99.26582
1463	99.24747
1462	99.23345
1461	99.2234
1460	99.21684
1459	99.21319
1458	99.21216
1457	99.21348
1456	99.2169
1455	99.22253
1454	99.23046
1453	99.24086
1452	99.25383
1451	99.26928
1450	99.28702
1449	99.30659
1448	99.32713
1447	99.34772
1446	99.36719
1445	99.38456
1444	99.39879
1443	99.40922
1442	99.41551
1441	99.41779
1440	99.41669
1439	99.41319
1438	99.4086
1437	99.4044
1436	99.40209
1435	99.40284
1434	99.40762
1433	99.41677
1432	99.43027
1431	99.44738
1430	99.46701
1429	99.48756
1428	99.50745
1427	99.52514
1426	99.53918
1425	99.54883
1424	99.5536
1423	99.55379
1422	99.55013
1421	99.54385
1420	99.53643
1419	99.52941
1418	99.52418
1417	99.52175
1416	99.52267
1415	99.52701
1414	99.53416
1413	99.54311
1412	99.55245
1411	99.56072
1410	99.56657
1409	99.56879
1408	99.56673
1407	99.5602
1406	99.54958
1405	99.53575
